// @noindex
0	       1
1	b2
2	       2
3	b3
4	       3
5	       4
6	b5
7	       5
8	b6
9	       6
10	b7
11	       7
12	       1
13	b2
14	       2
15	b3
16	       3
17	       4
18	b5
19	       5
20	b6
21	       6
22	b7
23	       7
24	       1
25	b2
26	       2
27	b3
28	       3
29	       4
30	b5
31	       5
32	b6
33	       6
34	b7
35	       7
36	       1
37	b2
38	       2
39	b3
40	       3
41	       4
42	b5
43	       5
44	b6
45	       6
46	b7
47	       7
48	       1
49	b2
50	       2
51	b3
52	       3
53	       4
54	b5
55	       5
56	b6
57	       6
58	b7
59	       7
60	       1
61	b2
62	       2
63	b3
64	       3
65	       4
66	b5
67	       5
68	b6
69	       6
70	b7
71	       7
72	       1
73	b2
74	       2
75	b3
76	       3
77	       4
78	b5
79	       5
80	b6
81	       6
82	b7
83	       7
84	       1
85	b2
86	       2
87	b3
88	       3
89	       4
90	b5
91	       5
92	b6
93	       6
94	b7
95	       7
96	       1
97	b2
98	       2
99	b3
100	       3
101	       4
102	b5
103	       5
104	b6
105	       6
106	b7
107	       7
108	       1
109	b2
110	       2
111	b3
112	       3
113	       4
114	b5
115	       5
116	b6
117	       6
118	b7
119	       7
120	       1
121	b2
122	       2
123	b3
124	       3
125	       4
126	b5
127	       5
